CvLaboral_Id|CvCtPais_Id|CvCtSueldo_id|CvCtExperiecia_Id|CvCtContrato_Id|CvCtSector_Id|CvDatosPersonales_Id|CvLaborales_EntidadFederativa|CvLaboral_Empresa|CvLaboral_Puesto|CvLaboral_Del|CvLaboral_Al
3111|1|3|19|3|1|7482|CIUDAD DE MÉXICO|Instituto Electoral del Estado de México|Coordinador de Logística|2005-02-25|2005-08-31
3113|1|3|19|2|2|7482|CIUDAD DE MÉXICO|Consorcio Aviaxa, S.A. de C.V.|Instructor "D" Desarrollo Humano|2006-04-21|2007-07-31
3115|1|7|10|2|1|5653|CIUDAD DE MÉXICO|Subsecretaria de Prevención y Promoción de la Salud|DIRECCIÓN DE INFORMACIÓN, GESTIÓN Y VINCULACIÓN|2015-12-10|2016-07-14
3116|60|9|10|2|1|5653||Servicio Gallego de Salud|Medico adscrito al servicio de medicina preventiva del Complejo Hospitalario de Pontevedra|2012-05-26|2012-11-20
3117|1|7|16|6|1|5632|CIUDAD DE MÉXICO|Secretaria de Salud Subsecretaria de Prevención y Promoción a la Salud|Director de area|2016-06-01|2016-07-14
3118|1|6|16|2|1|5632|CIUDAD DE MÉXICO|Servicios de Salud Pública del Distrito Federal|Sub Director de Medicina Preventiva y Epidemiología|2015-06-01|2016-05-31
3120|1|5|52|5|1|11659|CIUDAD DE MÉXICO|Secretaría de Salud|Subdirección de área|2016-03-01|2016-07-14
3121|1|7|11|3|2|11544|CIUDAD DE MÉXICO|ALBA SOFTWARE ENTERPRISE SOLUTIONS S DE RL DE CV|DIRECTOR DE PROYECTOS|2009-11-01|2016-01-30
3122|1|3|2|6|1|7789|ESTADO DE MÉXICO|Gubernatura del Estado|Responsable del área de Informática|2007-06-07|2011-05-31
3123|1|7|11|3|2|11544|ESTADO DE MÉXICO|Banco HSBC|Director de Proyectos Data Warehouse|2007-06-08|2009-09-30
3124|1|3|2|1|1|7789|ESTADO DE MÉXICO|Gubernatura del Estado|Responsable del área de Informática|2011-06-01|2012-02-15
3126|1|2|11|1|1|11580|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|TECNICO EN COMPUTACION|1993-08-01|1994-10-31
3127|1|3|2|3|1|7789|CIUDAD DE MÉXICO|Partido Revolucionario Institucional|Responsable del área de Informática|2012-02-16|2012-12-31
3128|1|6|13|3|1|11544|CIUDAD DE MÉXICO|Instituto Mexicano del Seguro Social|Administrador de Proyectos de Calidad de Datos|2005-03-01|2007-06-10
3130|1|6|13|3|2|11544|CIUDAD DE MÉXICO|Banco Santander Mexicano|Líder de Proyecto Banca Electronica|1997-10-06|2005-02-26
3131|1|2|11|2|1|11580|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|PROFESIONAL DE SERVICIOS ESPECIALIZADOS EN U.A.C.|1994-11-01|1996-09-15
3133|1|2|2|1|1|11580|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|JEFE DEPARTAMENTO|1996-09-16|1999-02-28
3134|1|2|2|2|1|11580|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|COORDINADOR DICTAMINADOR DE SERVICIOS ESPECIALIZADOS|1999-03-01|1999-05-15
3135|1|2|2|2|1|11580|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|PUESTO OCUPACIONAL 08|1999-05-16|2005-12-31
3136|1|6|2|2|1|5706|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SUBDIRECTORA|1996-02-01|2012-08-31
3137|1|7|2|2|1|5706|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|DIRECTORA|2012-09-01|2013-02-28
3138|1|5|13|2|2|7792|CIUDAD DE MÉXICO|Concultores de Integración de Sistemas S.A. de C.V.|Ingeniero de Soporte|2002-07-08|2008-09-10
3139|1|4|11|2|2|7792|CIUDAD DE MÉXICO|Access Consulting|Ingeniero Shadow|2008-10-01|2009-10-31
3140|1|3|46|2|2|7792|CIUDAD DE MÉXICO|Accounting & Law Consulting|Jefe de Sistemas|2011-01-15|2011-06-15
3141|1|8|2|6|1|5725|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|DIRECTOR DE AREA|2006-01-01|2016-09-30
3142|1|2|11|1|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Técnico en Computación|1992-06-01|1994-02-15
3143|1|2|11|1|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Analista Programador|1994-02-16|1996-05-15
3153|1|2|11|2|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Profesional de Servicios Especializados en U.A.C.|1996-05-16|1996-07-31
3155|1|2|11|2|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Profesional Ejecutivo de Especializados en U.A.C.|1996-08-01|1999-08-15
3156|1|3|11|2|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Jefe de Departamento|1999-08-16|2001-03-31
3159|1|3|11|2|1|7321|CIUDAD DE MÉXICO|Secretaría de Salud|Jefe de Departamento|2001-04-01|2005-12-31
3160|1|3|1|3|2|7783|CIUDAD DE MÉXICO|Sociedad Mexicana de Psicológía|Asistente Editorial de la RMP|2006-02-06|2008-06-30
3163|1|2|1|3|1|11930|CIUDAD DE MÉXICO|INSTITUTO MEXICANO DEL PETROLEO|SERVICIO SOCIAL EN GERENCIA DE CALIDAD|2007-03-01|2008-04-01
3164|1|3|2|2|1|11930|AGUASCALIENTES|ASESORES EN MENSAJERIA SA DE CV|JEFE DE PROCESOS|2008-03-01|2009-08-01
3165|1|3|2|2|1|11930|CIUDAD DE MÉXICO|ASESORES EN MESAJERIA SA DE CV|REPRESENTANTE DE LA DIRECCION|2009-08-05|2010-01-30
3166|1|4|2|2|2|11930|AGUASCALIENTES|JIMENEZ BELINCHON SA DE CV|RESPONSABLE DE CALIDAD Y RECURSOS HUMANOS|2010-03-01|2012-03-30
3169|1|5|2|2|1|11930|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|RESPONSABLE DE RECURSOS MATERIALES Y SERVICIOS GENERALES|2013-10-16|2015-04-30
3170|1|6|2|2|1|11930|CIUDAD DE MÉXICO|SECREATARIA DE SALUD|COORDINADOR ADMINISTRTIVO|2015-05-01|2016-01-01
3171|1|4|2|2|1|11930|CIUDAD DE MÉXICO|PROACTIVA MEDIO AMBIENTE|RESPONSABLE DE SEGURIDAD CALIDAD E HIGIENE|2012-04-09|2013-10-01
3172|1|2|2|5|1|5658|CIUDAD DE MÉXICO|Embajada de Francia|Asesora|2004-07-05|2006-02-10
3173|1|5|2|2|1|5658|CIUDAD DE MÉXICO|Instituto Nacional de Migración (Delegación Regional DF)|Jefa de Departamento|2006-10-01|2008-04-15
3174|1|6|2|2|1|5658|CIUDAD DE MÉXICO|Instituto Nacional para el Federalismo y Desarrollo Municipal|Subdirectora de Área|2008-04-15|2010-08-15
3175|1|6|2|2|1|5658|CIUDAD DE MÉXICO|Secretaria de Energia (SENER)|Subdirectora de Área|2012-04-01|2014-02-01
3176|1|7|48|2|2|5599|ESTADO DE MÉXICO|Confecciones ALCE, S.A. de C.V. |JEFE DE INFRAESTRUCTURA|2009-07-01|2011-11-15
3177|1|7|24|2|2|5599|ESTADO DE MÉXICO|Merck, S.A. de C.V.  |Jefe de Tecnología|2002-11-01|2009-05-15
3178|1|10|2|2|1|11810|CIUDAD DE MÉXICO|SHCP|DIRECTOR DE RECURSOS HUMANOS|2013-02-16|2015-07-31
3179|1|8|2|2|1|11810|CIUDAD DE MÉXICO|SHCP|DIRECTOR DE OPERACIÓN Y LOGÍSTICA|2004-05-16|2013-01-31
3181|1|7|2|2|1|11810|CIUDAD DE MÉXICO|SHCP|COORDINADOR ADMINISTRATIVO|2003-09-01|2004-05-15
3182|1|7|2|2|1|11810|CIUDAD DE MÉXICO|BANRURAL|COORDINADOR ADMINISTRATIVO|2003-03-01|2003-06-30
3187|1|7|1|2|1|11810|CIUDAD DE MÉXICO|SHCP|COORDINADOR ADMINISTRATIVO|2001-02-16|2003-02-28
3188|1|7|2|2|1|11810|CIUDAD DE MÉXICO|SHCP|COORDINADOR ADMINISTRATIVO|2000-05-01|2001-02-15
3189|1|5|2|2|1|11810|CIUDAD DE MÉXICO|SHCP|JEFE DE DEPARTAMENTO DE CONTROL PRESUPUESTAL|1997-09-01|2000-04-30
3190|1|3|2|1|1|11810|CIUDAD DE MÉXICO|SHCP|JEFE DE SECCION DE ESPECIALISTAS HACENDARIOS|1990-07-01|1997-08-31
3191|1|4|25|2|2|7333|BAJA CALIFORNIA SUR|ONE AND ONLY PALMILLA|ENCARGADA DE BOUTIQUE|2005-03-15|2007-04-08
3192|1|7|2|1|1|11848|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SUBDIRECTOR ADMINISTRACIÓN|2014-07-16|2016-07-18
3193|1|3|5|2|2|7333|NAYARIT|SAMBA VALLARTA|CAPITAN DE MESEROS |2008-02-08|2009-02-05
3194|1|3|5|2|2|7333|NAYARIT|FAIRMONT RANCHO BANDERAS |ASISTENTE DE ALIMENTOS Y BEBIDAS|2009-03-01|2009-10-30
3195|1|3|25|2|2|7333|NAYARIT|FOUR SEASONS PUNTA MITA|ENCARGADA DE BOUTIQUE|2010-02-01|2011-08-30
3198|1|7|2|2|1|11577|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SUBDIRECTOR DE SISTEMAS|2015-07-01|2016-07-18
3199|1|6|2|2|1|11577|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|JEFE DE DEPARTAMENTO DE ADMINISTRACION DEL ACERVO DOCUMENTAL Y SERVICIOS|2012-11-16|2015-06-30
3201|1|5|2|2|1|11577|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SUBCOORDINADOR DE TECNOLOGIA DE INFORMACION Y MEDIOS VIRTUALES|2010-09-01|2012-10-31
3204|1|5|16|1|2|5767|VERACRUZ|Consultorio Privado|Medico General|1987-08-01|1997-02-28
3205|1|4|2|3|1|5767|MORELOS|Instituto Nacional de Salud Pública|Investigador|1999-09-01|2001-08-01
3206|1|4|2|2|1|5767|CIUDAD DE MÉXICO|Secretaria de Salud|Jefe de Departamento|2001-09-16|2010-03-15
3207|1|4|16|6|1|7223|CIUDAD DE MÉXICO|CONSEJO DE SALUBRIDAD GENERAL|ENLACE DE ALTO NIVEL DE RESPONSABILIDAD|2012-06-01|2016-06-30
3208|1|3|24|1|2|7223|CIUDAD DE MÉXICO|CONTROLADORA DE FARMACIAS SAPI DE CV|GERENTE DE FARMACIA|2009-02-01|2011-12-01
3209|1|3|16|2|2|7223|ESTADO DE MÉXICO|FARMA PLUS|MEDICO PASANTE|2005-01-15|2016-07-01
3210|1|5|1|3|2|7223|CIUDAD DE MÉXICO|ASESORES EN NEGOCIOS ASOCIADOS AC|DIRECTOR DE AREA|2007-03-01|2007-12-01
3211|1|3|16|3|2|7223|ESTADO DE MÉXICO|FARMACIAS GI|MEDICO PASANTE|2003-05-01|2005-12-01
3212|1|3|16|3|2|7223|ESTADO DE MÉXICO|FUNDACION BEST|MEDICO PASANTE|2002-08-01|2005-03-01
3213|1|2|19|4|2|7223|CIUDAD DE MÉXICO|ESCUELA TECNICA PROFESIONAL DE MEDICINA ALTERNATIVA|PROFESOR DE ASIGNATURA|2000-01-01|2002-01-01
3214|1|2|16|2|2|7223|ESTADO DE MÉXICO|ANALISTAS AMBIENTALES ASOCIADOS|MEDICO PASANTE|2000-01-01|2003-01-01
3216|1|8|2|6|1|5935|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|ASESOR DE LA DIRECTORA GRAL. DE LA APBP|2013-08-01|2015-03-31
3217|1|8|2|6|1|5935|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SECRETARIO PARTICULAR DE LA SUBSECRETARIA DE ADMINISTRACION Y FINANZAS|2012-12-15|2013-08-31
3218|1|8|2|2|1|5935|ESTADO DE MÉXICO|H.AYUNTAMIENTO DE TOLUCA DE LERDO|DIRECTOR DE PARTICIPACION CIUDADANA Y PROGRAMAS SOCIALES|2009-08-01|2011-08-31
3219|1|8|2|2|1|5935|ESTADO DE MÉXICO|SECRETARIA DE SALUD DEL GOBIERNO DEL ESTADO DE MEXICO|ASESOR DE LA SECRETARIA DE SALUD|2002-10-01|2009-03-31
3222|1|3|1|1|2|11782|CIUDAD DE MÉXICO|UNIVERSIDAD LA SALLE A.C.|PROFESORA , JEFE DE PRÁCTICAS, JEFE DE CARRERA|1996-08-01|2006-06-30
3223|1|6|1|2|2|11782|CIUDAD DE MÉXICO|UNIVERSIDAD LA SALLE NEZAHUALCÓYOTL A.C.|DIRECTORA DE LA ESCUELA DE CIENCIAS ADMINISTRATIVAS Y PEDAGOGÍA|2006-07-01|2014-06-30
3224|1|3|1|1|2|11782|CIUDAD DE MÉXICO|COLEGIO MARCELINO CHAMPAGNAT|PROFESORA Y DIRECTORA DE PLANTEL|1992-07-01|1998-07-31
3225|1|2|1|1|2|11782|CIUDAD DE MÉXICO|COLEGIO WALTER REED|PROFESORA DE GRUPO|1987-08-01|2007-06-30
3226|1|6|2|6|1|11782|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|JEFA DEL DEPARTAMENTO DE RECURSOS HUMANOS|2014-07-01|2016-07-19
3228|1|5|29|3|2|7580|ESTADO DE MÉXICO|ARBVACI|ABOGADA|2008-02-15|2013-07-30
3229|1|6|52|6|1|7717|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|SUBDIRECTOR DE LOGISTICA|2016-06-01|2016-06-19
3230|1|6|41|2|1|11948|CIUDAD DE MÉXICO|COMISION NACIONAL DE SEGUROS Y FIANZAS|SUPERVISOR ACTUARIAL|2006-05-01|2013-06-15
3231|1|2|29|1|2|11673|CIUDAD DE MÉXICO|Sandoval y Abogados|Pasante|2012-02-01|2013-01-25
3232|1|5|41|2|1|11948|CIUDAD DE MÉXICO|COMISIÓN NACIONAL DE SEGUROS Y FIANZAS|INSPECTOR AUDITOR|2005-06-16|2006-04-28
3234|1|2|1|5|2|11712|CIUDAD DE MÉXICO|Universidad Tecnológica de México SC Campus Iztapalapa (sur)|Académico de asignatura|2014-09-15|2015-05-02
3237|1|4|16|3|1|7129|CIUDAD DE MÉXICO|ISSSTE|Médico|2011-01-01|2012-01-01
3240|1|6|16|3|2|7129|CIUDAD DE MÉXICO|Cuidado Vital S.C.|Médico|2011-10-01|2016-07-19
3241|1|2|2|2|1|11673|CIUDAD DE MÉXICO|Delegación Álvaro Obregón|Servicio Social|2013-02-02|2013-08-15
3242|1|3|16|1|2|11712|CIUDAD DE MÉXICO|Hospitales Ángeles, Clínica Londres|Médico de Urgencias|2011-03-16|2011-05-31
3243|1|5|2|2|1|11673|CIUDAD DE MÉXICO|Secretaría de Salud / dirección General de Comunicación Social|Soporte Administrativo "C"|2014-01-08|2015-12-31
3244|1|6|2|2|1|11673|CIUDAD DE MÉXICO|Secretaría de Salud / Dirección General de Comunicación Social|Subdirector de Información con Medios Impresos|2016-01-01|2016-07-19
3245|1|6|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|ANALISTA ESPECIALIZADO A|2010-01-01|2013-02-15
3246|1|5|2|2|1|11712|CIUDAD DE MÉXICO|Comisión Federal para la Protección contra Riesgos Sanitarios|Subdirección Ejecutiva de Dictamen de Servicios e Insumos para la Salud|2009-11-19|2011-03-15
3247|1|6|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|SUBDIRECTORA DE ADMINISTRACION|2007-08-16|2010-01-01
3248|1|3|16|3|2|11712|CIUDAD DE MÉXICO|Nacional Monte de Piedad|Outsourcing Coordinador Médico|2009-07-01|2009-11-15
3249|1|6|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|SUBDIRECTORA DE COORDINACION INTERINSTITUCIONAL|2007-04-01|2007-08-15
3250|1|5|2|2|1|11712|CIUDAD DE MÉXICO|Secretariado Técnico del Consejo Nacional de Salud|Artículo 34 SPC Subdirección de Coordinación Operativa,|2008-11-01|2009-03-15
3252|1|4|16|3|2|7214|AGUASCALIENTES|Servicio Médico de la Bahía|Médico|2014-10-01|2015-07-31
3253|1|2|16|5|1|11712|CIUDAD DE MÉXICO|Hospital General «Dr. Darío Fernández Fierro» Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado|Médico de Suplencias,|2008-12-01|2009-01-31
3254|1|4|14|1|1|7494|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|AUXILIAR CONTABLE|1982-01-01|2007-01-01
3255|1|5|2|2|1|7494|CIUDAD DE MÉXICO|SECRETARIA DE SALUD|JEFE DE DEPARTAMENTO|2008-01-01|2016-01-01
3256|1|4|2|2|1|11712|CIUDAD DE MÉXICO|Comisión de Operación Sanitaria, COFEPRIS|Gerencia de Dictamen de Servicios e Insumos para la Salud,|2008-06-16|2008-10-31
3257|1|5|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|JEFE DE LA UNIDAD DE APOYO ADMINISTRATIVO|2005-10-16|2006-02-01
3258|1|2|16|7|1|7214|NAYARIT|SSA|Médico|2014-08-01|2015-07-31
3259|1|2|43|1|2|11712|CIUDAD DE MÉXICO|Seguros Banorte Generali S. A. de C. V.|Médico Dictaminador|2008-06-10|2008-06-30
3260|1|5|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|ASESOR B DEL SECRETARIO DE MEDIO AMBIENTE|2004-12-01|2005-10-15
3261|1|2|16|7|1|7214|CIUDAD DE MÉXICO|ISSSTE|Médico|2013-08-01|2014-07-31
3262|1|5|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|JEFE DEL DEPARTAMENTO DE PERSONAL  S MEDIO AMBIENTE|2003-07-16|2004-11-30
3264|1|5|2|1|1|5942|ESTADO DE MÉXICO|GOBIERNO DEL ESTADO DE MEXICO|JEFE DEL DEPARTEMENTO DE ADMON DE PERSONAL S. EDUCACION|2000-04-01|2003-07-01
3265|1|5|2|2|1|11712|CIUDAD DE MÉXICO|Hospital General Balbuena|Subdirección Médica|2007-07-01|2008-03-31
3266|1|3|2|2|1|11712|CIUDAD DE MÉXICO|Dir. Gral. Serv. Méd. y Urgencias, S. S. D. F.|Subdirección de Operación Hospitalaria;|2006-05-16|2007-06-30
3267|1|3|2|2|1|11712|CIUDAD DE MÉXICO|Dir. Gral. Serv. Méd. y Urgencias, S. S. D. F.|Jefatura de Unidad Departamental de Supervisión y Control|2004-10-16|2006-05-15
3268|1|3|2|2|1|11712|CIUDAD DE MÉXICO|Dir. Gral. Serv. Méd. y Urgencias, S. S. D. F.|JUD de Hospitales Maternoinfantiles y Pediátricos|2004-09-01|2004-10-15
3269|1|3|2|2|1|11712|CIUDAD DE MÉXICO|Órgano Interno de Control en el Instituto Mexicano del Seguro Social|Confianza Médica, Auditor Médico|2003-05-01|2004-04-30
3270|1|7|2|2|1|7601|CIUDAD DE MÉXICO|CENTRO NACIONAL DE EXCELENCIA TECNOLOGICA|SUBDIRECCION DE ADMINISTRACION|2007-10-01|2013-04-30
3271|1|3|2|2|1|11712|CIUDAD DE MÉXICO|Coordinación de Auditoría Médica, Unidad de Contraloría Interna del IMSS|Responsable de Proyecto C 80|2000-08-16|2003-04-30
3272|1|13|2|2|1|5885|CIUDAD DE MÉXICO|policia federal|director general de recursos humanos|2011-05-01|2013-08-31
3273|1|2|43|1|2|11712|CIUDAD DE MÉXICO|Human Global Resourse A. C. para C & G Marketing Group|Asesor Médico|2003-03-24|2003-05-01
3274|1|6|2|2|1|7601|CIUDAD DE MÉXICO|CENTRO NACIONAL CONTRA LAS ADICCIONES|JEFA DE DEPARTAMENTO DE SUMINISTROS Y SERVICIOS GENERALES|2001-09-01|2006-12-30
3275|1|3|16|5|1|11712|CIUDAD DE MÉXICO|Secretaría de Salud del Distrito Federal|Médico Especialista «B», Cirujano General|2000-05-16|2000-11-30
3276|1|6|14|2|2|7601|CIUDAD DE MÉXICO|PRESTACIONES MEXICANAS, S.A.DE C.V.|JEFATURA DE DEPARTAMENTO DE AUDITORIA INTERNA|1997-01-01|2001-08-30
3277|1|2|14|2|2|7601|CIUDAD DE MÉXICO|PRESTACIONES MEXICANAS, S.A. DE C.V. |JEFATURA DE DEPARTAMENTO DE COBRANZA|1995-10-01|1997-01-16
3278|1|7|14|2|2|7601|CIUDAD DE MÉXICO|PRESTACIONES MEXICANAS, S.A. DE C.V.|JEFATURA DE DEPARTAMENTO DE TESORERIA|1992-06-01|1995-09-30
3279|1|7|14|2|2|7601|CIUDAD DE MÉXICO|PRESTACIONES MEXICANAS, S.A. DE C.V|JEFATURA DE DEPARTAMENTO DE TRAFICO|1989-10-01|1992-05-30
3280|1|6|14|2|2|7601|CIUDAD DE MÉXICO|GRUPO MEXICANO DEL PACIFICO, S.A. DE C.V.|JEFATURA DE DEPARTAMENTO DE EMISION|1987-10-01|1992-05-16
3281|1|2|14|2|2|7601|CIUDAD DE MÉXICO|MELJEM Y MELJEM ASOCIADOS|AUXILIAR CONTABLE|1985-03-01|1987-11-30
3282|1|3|14|2|2|7601|CIUDAD DE MÉXICO|OCTAVIO DE LA TORRE PUBLICIDAD, SA DE CV|COORDINADORA ADMINISTRATIVA|1982-04-01|1985-02-28
3283|1|2|14|2|2|7601|CIUDAD DE MÉXICO|VINILOS ROMAY, S.A. DE C.V.|JEFA DE ALMACEN DE SUMINISTROS|1981-01-01|1982-03-30
3284|1|2|14|2|2|7601|CIUDAD DE MÉXICO|CONSULTEC INGENIEROS ASOCIADOS, S.A. DE C.V.|AUXILIAR CONTABLE|1978-09-01|1980-12-30
3285|1|5|2|3|1|11849|CIUDAD DE MÉXICO|Secretaría de Sesarrollo Social-Universidad Autónoma de Tlaxcala|Administrador de proyectos|2014-07-15|2015-07-31
3288|1|7|2|2|1|11849|CIUDAD DE MÉXICO|Secretaría de Salud|Subdirector de área|2007-09-15|2013-12-31
3289|1|4|2|3|1|11849|MORELOS|Instituto Mexicano del Seguro Social|Investigador |2002-07-01|2007-09-07
3290|1|3|52|3|2|11891|CIUDAD DE MÉXICO|MEGARQUITECTOS S.A. DE C.V.|DIBUJANTE|2010-06-21|2012-04-03
3291|1|3|12|1|2|11891|CIUDAD DE MÉXICO|PROMOTORA DE DESARROLLOS ESTRATÉGICOS INTEGRALES|COORDINADORA DE DISEÑO DE INTERIORES|2012-08-06|2014-10-10
3292|1|6|2|2|1|11986|CIUDAD DE MÉXICO|Secretaria de Salud|Subdirector de Diseño e Implementación de Instumentos para la Innovacion de Infraestructura|2001-02-01|2014-09-16
3293|1|4|12|3|2|11986|AGUASCALIENTES|CVIRS, SA de CV|Residente de obra|2005-06-20|2007-12-21
3294|1|3|1|3|2|11986|AGUASCALIENTES|Universidad del Valle de Mexico|Docente de Asignatura|2008-02-04|2011-02-01
3295|1|4|12|3|2|11986|AGUASCALIENTES|Rodriguez Lara Valuación Profesional|Visitador de obra|2005-06-20|2007-12-21
3296|1|3|12|3|2|11986|CIUDAD DE MÉXICO|BCB Impulse Consultoria Inmobiliaria|Analista de Mercadotecnia|2004-03-08|2004-04-15
3298|1|2|16|1|1|11778|DURANGO|Servicios Coordinados de Salud del Estado de Durango|Despachador de farmacia|1991-12-02|2007-02-28
3300|1|6|2|2|1|11850|CIUDAD DE MÉXICO|SECRETARIA DE SALUD |SUBDIRECTORA DE APOYO Y COORDINACIÓN REGIONAL 4|2011-04-01|2016-07-19
3301|1|7|5|2|1|5766|CIUDAD DE MÉXICO|SSA|DIRECCION DE PROTOCOLO|2016-02-01|2016-07-19
3302|1|6|2|1|1|5710|CIUDAD DE MÉXICO|COMISIÓN NACIONAL DE LOS DERECHOS HUMANOS|VISITADORA ADJUNTA|2006-06-01|2011-08-30
3303|1|7|5|2|2|5766|CIUDAD DE MÉXICO|EUREST PROPER MEALS |GERENTE DE SALUD Y BIENESTAR|2014-07-25|2016-01-31
3304|1|5|5|2|2|5766|CIUDAD DE MÉXICO|EUREST PROPER MEALS DE MEXICO|GESTORA DE PLANEACIÓN|2013-04-22|2014-07-24
3306|1|5|2|1|1|5710|CIUDAD DE MÉXICO|PROCURADURÍA GENERAL DE JUSTICIA DEL D.F. |SUBDIRECTORA DE MEDICINA|1998-05-01|2006-05-31
3307|60|4|5|2|2|5766||HOTEL PRINCESA SOFÍA|TRAINEE EN GRUPOS Y CONVENCIONES |2011-02-01|2011-12-20
3309|1|4|2|1|1|5710|CIUDAD DE MÉXICO|PROCURADURÍA GENERAL DE JUSTICIA DEL D.F.|JEFE DE DEPARTAMENTO DE MEDICINA Y PSIQUIATRÍA|1997-02-16|1998-04-30
3310|1|3|2|1|1|5710|CIUDAD DE MÉXICO|PROCURADURÍA GENERAL DE JUSTICIA DEL D.F.|PERITO PROFESIONAL EN MEDICINA|1989-04-16|1996-08-15
3311|1|4|32|1|2|7209|CIUDAD DE MÉXICO|Humania para Tupperware Brands México|Trainee de Producto|2014-01-05|2014-12-31
3313|1|3|2|1|1|5710|CIUDAD DE MÉXICO|PROCURADURÍA GENERAL DE JUSTICIA DEL D.F.|MÉDICO GENERAL ASISTENCIAL |1985-01-16|1989-04-15
